Front,Back,Tags,Deck,Card_Type,Priority,Source_Reference,GUID
"SCENARIO — Allottee's PPO issued; 10% gratuity (Rs 80,000) claimed WITHOUT vacating. HoO releases it. Valid?","<b>Rule:</b> NO — the provisional-pension rule's sub-rule: withheld 10% releases AFTER PPO, but ALLOTTEES need NDC (actual vacation + 14-day DoE clock per the withholding rule's sub-rule ). Release without NDC breaches.<br><br><b>Hinglish:</b> Makaan-wala-NDC-lao-tab-10%.<br><br><b>Ref:</b> Rule 62(8), (9); Rule 68; Rule 62(8)(9)-(9); Rule 68(6)(7)-(7); Rule 62(8); Rule 62(9); Rule 62(6); Rule 62(7)",CCS_Pension Rule_62 Evaluation CCS_Pension::Rule_62 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 62(8), (9)",CCS21-264b7b3f
SCENARIO — AO agrees provisional figures were correct. Fastest finalisation path?,<b>Rule:</b> Provisional Pension rule: adopt provisional AS FINAL → IMMEDIATE PPO (no re-audit loop); then release 10% tail per -.<br><br><b>Hinglish:</b> Sahi-tha to turant-PPO.<br><br><b>Ref:</b> Rule 62(7); Rule 62(8); Rule 62(9),CCS_Pension Rule_62 Procedure CCS_Pension::Rule_62 Priority::Medium,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,MEDIUM,Rule 62(7),CCS21-4472daa4
SCENARIO — Superannuation 30.06; AO issues PPO on 15.06 (15 days prior). Compliant with the pension-payment rule's sub-rule (1)(a)?,<b>Rule:</b> NO — PPO must issue 2 MONTHS BEFORE (by ~30.04). 15.06 is 6 weeks late; interest risk attaches for downstream delay.<br><br><b>Hinglish:</b> 2-mahine-pehle-PPO — 15-din-galat.<br><br><b>Ref:</b> Rule 63(1)(a); Rule 63(1); Rule 65,CCS_Pension Rule_63 Timeline Evaluation CCS_Pension::Rule_63 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 63(1)(a),CCS21-076a1fbc
SCENARIO — VR effective 01.04; papers reach AO 10.04; PPO issued 20.06. Valid?,<b>Rule:</b> NO — the pension-payment rule's sub-rule: 45 DAYS for non-superannuation (till ~25.05 from receipt/effectiveness — VERIFY start-point); 20.06 breaches.<br><br><b>Hinglish:</b> 45-din-other — 20.06-deri.<br><br><b>Ref:</b> Rule 63(1)(b); Rule 63(1); Rule 63(b),CCS_Pension Rule_63 Timeline Evaluation CCS_Pension::Rule_63 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 63(1)(b),CCS21-2a410129
"SCENARIO — 24-month audit finds pay was OVER-fixed 20 months ago (Rs 5,000/mo excess). AO refixes emoluments + average. Valid?",<b>Rule:</b> YES — the pension-payment rule's sub-rule: 24-month verification window COVERS 20-month error; refix + recompute pension/gratuity/FP assessment; recovery via revision rails (notice/short-pay).<br><br><b>Hinglish:</b> 24-me-pakda to sudhaaro.<br><br><b>Ref:</b> Rule 63(1)(c); Rule 66; Rule 63(1); Rule 63(c),CCS_Pension Rule_63 Scenario CCS_Pension::Rule_63 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 63(1)(c),CCS21-1395228b
SCENARIO — Servant has TWO wives (both marriages valid under personal law) + children from void second union. PPO structure?,<b>Rule:</b> Pension Payment rule: spouse co-authorisation; 1st proviso: multiple-wives mechanics (equal FP shares per the family-pension rule's sub-rule ); 2nd proviso: void-union children take MOTHER's share with SURVIVING-WIDOW-FIRST ordering.<br><br><b>Hinglish:</b> Do-patni-barabar; void-bacche-maa-hissa-vidva-pehle.<br><br><b>Ref:</b> Rule 63(1)(d) provisos; Rule 63(1)(d); Rule 50(8)(c); Rule 63(8); Rule 63(c),CCS_Pension Rule_63 Proviso Scenario CCS_Pension::Rule_63 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 63(1)(d),CCS21-64b9434d
EVALUATE — A 2025 commentary says pension-payment needs 'Format 9 only'. Correct?,<b>Rule:</b> OUTDATED — verified G.S.R. 410(E) cl.9 SUBSTITUTED 'Format 9' with 'Form 6-A' in the pension-payment rule's sub-rule all 2 clauses. Post-2024 answer: Form 6-A carries the undertaking.<br><br><b>Hinglish:</b> the pension-payment rule-ab-6-A — Format9-purana.<br><br><b>Ref:</b> Rule 63(4); G.S.R. 410(E); Rule 63(4)(a); Rule 63(a)-(b),CCS_Pension Rule_63 GSR_410_E_2024 Evaluation CCS_Pension::Rule_63 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 63(4),CCS21-41bf4866
SCENARIO — Officer on CENTRAL deputation retires; PARENT HoO starts the case; BORROWING HoO also starts one. Who owns it?,"<b>Rule:</b> BORROWING HoO (the deputation-cases rule's sub-rule ) — parent must transfer papers; parallel processing is void duplication. (State/foreign deput: HoO OR cadre authority per the deputation-cases rule's sub-rule.)<br><br><b>Hinglish:</b> Kendra-pratiniyukti-lene-wala-maalk.<br><br><b>Ref:</b> Rule 64(1), (2); Rule 64(1); Rule 64(2)",CCS_Pension Rule_64 Deputation Evaluation CCS_Pension::Rule_64 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 64(1), (2)",CCS21-c97bec48
"IDENTIFY — (A) PPO never issued for 8 months, no proceedings. (B) PPO issued, PDA pays 2 months late. Which interest trigger each?",<b>Rule:</b> (A) 'NOT SANCTIONED' trigger; (B) 'LATER THAN DUE DATE' trigger. Both need ADMIN fault + GPF rate; both die if servant-caused (proviso).<br><br><b>Hinglish:</b> Bana-nahi vs mila-deri — dono-byaaj.<br><br><b>Ref:</b> Rule 65(1),CCS_Pension Rule_65 Interest_On_Delay Evaluation CCS_Pension::Rule_65 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 65(1),CCS21-057389da
SCENARIO — Delay because servant filed Form 6-A 4 months late + HoO delayed 1 month. Interest?,<b>Rule:</b> APPORTION: servant-caused slice = NO interest (interest proviso); HoO-caused slice = interest at GPF. Blanket grant or blanket denial both wrong — VERIFY apportionment practice.<br><br><b>Hinglish:</b> Apni-deri-byaaj-nahi; daftar-deri-byaaj-haan.<br><br><b>Ref:</b> Rule 65(1) proviso; Rule 65(1),CCS_Pension Rule_65 Evaluation CCS_Pension::Rule_65 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 65(1),CCS21-e178c045
SCENARIO — Under-Secretary sanctions interest for an attached office. Valid?,"<b>Rule:</b> NO — the interest rule's sub-rule: SECRETARY/JOINT SECRETARY 'SHALL' sanction (covers attached/subordinate offices). US-level sanction is coram-fail; re-sanction at Secy/JS + pay within 2 months (the interest rule's sub-rule ).<br><br><b>Hinglish:</b> Byaz-Secretary/JtSecy-hi.<br><br><b>Ref:</b> Rule 65(2), (3); Rule 65; Rule 65(2); Rule 65(3)",CCS_Pension Rule_65 Evaluation CCS_Pension::Rule_65 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 65(2), (3)",CCS21-22d954d2
SCENARIO — Vigilance probe into delay will take a year; HoO withholds interest till probe ends. Valid?,"<b>Rule:</b> NO — interest proviso: pay interest WITHOUT WAITING; fix responsibility + discipline in PARALLEL, not prior.<br><br><b>Hinglish:</b> Paisa-pehle-jaanch-saath.<br><br><b>Ref:</b> Rule 65(4)",CCS_Pension Rule_65 Evaluation CCS_Pension::Rule_65 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 65(4),CCS21-111b7dc1
SCENARIO — 8th CPC (future) revises pay; pensions re-fixed upward generally. Route?,<b>Rule:</b> Revision rule: GENERAL-ORDER revision — basic pension re-treated prospectively per orders; no individual clerical-error proof needed; no DoPPW concurrence for upward/systemic moves.<br><br><b>Hinglish:</b> Aam-hukum-se-upar — aasaan.<br><br><b>Ref:</b> Rule 66(1),CCS_Pension Rule_66 Recovery Scenario CCS_Pension::Rule_66 Priority::Medium,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,MEDIUM,Rule 66(1),CCS21-34fadc2e
"SCENARIO — 3-year-old PPO has a data-entry error (pay Rs 80,000 typed 90,000). Downward revision needs?","<b>Rule:</b> the revision rule's sub-rule: clerical-error ground ONLY 3y &gt; 2y → DoPPW CONCURRENCE (proviso) the revision rule's sub-rule: Ministry DECIDES it is clerical the revision rule's sub-rule: 2-month refund notice → short-pay recovery. Skip any = void.<br><br><b>Hinglish:</b> Clerical-DoPPW-Ministry-notice-katoti — chaaro.<br><br><b>Ref:</b> Rule 66(2), (3), (5), (6); Rule 66(2); Rule 66(3); Rule 66(5)(6)-(6); Rule 66(1); Rule 66(4); Rule 66(5); Rule 66(6)",CCS_Pension Rule_66 Evaluation CCS_Pension::Rule_66 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 66(2), (3), (5), (6)",CCS21-25f47417
SCENARIO — Pensioner pleads hardship against Rs 2L excess recovery. Who can waive?,<b>Rule:</b> ONLY via the revision rule's sub-rule: MINISTRY OF FINANCE (Dept of Expenditure) waiver channel — HoO/AO/Ministry cannot forgive on their own.<br><br><b>Hinglish:</b> Maafi-sirf-FinMin.<br><br><b>Ref:</b> Rule 66(4),CCS_Pension Rule_66 Recovery CCS_Pension::Rule_66 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 66(4),CCS21-8d5ca9bf
"SCENARIO — Retiree owes: licence-fee Rs 40,000 + subletting damages Rs 1L + HBA advance Rs 2L + excess pay Rs 30,000. Sort into baskets + recovery pot.","<b>Rule:</b> accommodation: 40K + 1L other: 2L + 30K. ALL adjusted from RETIREMENT GRATUITY (the dues rule's sub-rule ); HoO must ASCERTAIN+ASSESS both (the dues rule's sub-rule ).<br><br><b>Hinglish:</b> Makaan-1.4L, paisa-2.3L — gratuity-se-kaato.<br><br><b>Ref:</b> Rules 67(1), 2; Rule 67; Rule 67(2); Rule 67(1); Rule 67(a); Rule 67(b)",CCS_Pension Rule_67 Government_Dues Recovery Application CCS_Pension::Rule_67 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 67,CCS21-727e531e
"SCENARIO — Electricity dues Rs 5,000 in spouse's name for allotted quarter. Recoverable under the dues rule?",<b>Rule:</b> YES if for the ALLOTTED accommodation (Explanation covers electricity/water/PNG of the allotment) — billed-name technicality doesn't defeat dues; VERIFY attribution practice.<br><br><b>Hinglish:</b> Allottee-makaan-bijli-baqaya.<br><br><b>Ref:</b> Rule 67 Explanation (a); Rule 67; Rule 67(a),CCS_Pension Rule_67 Evaluation CCS_Pension::Rule_67 Priority::Medium,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,MEDIUM,Rule 67 Explanation (a),CCS21-e2e318ec
SCENARIO — Superannuation case: DoE reply arrives in 3 months (1 month late). Effect?,"<b>Rule:</b> withholding allows 2 MONTHS — 3 months breaches; HoO proceeds (cannot hold pension hostage); DoE delay evidences admin lapse for the interest rule; (Contrast: non-superannuation gets only 1 MONTH the interest rule.)<br><br><b>Hinglish:</b> superannuation-2, other-1 — deri-par-aage-badho.<br><br><b>Ref:</b> Rule 68(1)(a), (b); Rule 65(1)(b); Rule 68(1)(a); Rule 65; Rule 33",CCS_Pension Rule_68 Timeline Evaluation CCS_Pension::Rule_68 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 68(1)(a), (b)",CCS21-6899538b
SCENARIO — DoE NEVER replies. HoO withholds 10% gratuity 'pending dues'. Valid?,<b>Rule:</b> NO — the withholding rule's sub-rule: silence = PRESUMED NOTHING RECOVERABLE. Withholding needs an actual the withholding rule/ intimation; release the 10% tail per the provisional-pension rule's sub-rule (NDC-gate for allottees).<br><br><b>Hinglish:</b> Chuppi-saaf-chit — 10%-chhodo.<br><br><b>Ref:</b> Rule 68(1)(c); Rule 68(1)(a); Rule 62(8)(9)-(9); Rule 68(1); Rule 68(c); Rule 68(b); Rule 68(8); Rule 68(9),CCS_Pension Rule_68 Evaluation CCS_Pension::Rule_68 Priority::Critical,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,CRITICAL,Rule 68(1)(c),CCS21-c8debf74
"COMPUTE — Dues Rs 80,000; pay Rs 50,000/mo; retirement in 10 months. withholding recovery plan?","<b>Rule:</b> Recover over NEXT 8 MONTHS from monthly pay: Rs 10,000/mo × 8 = Rs 80,000; instalments from CURRENT pay; any balance cleared BEFORE gratuity authorisation (the withholding rule's sub-rule ).<br><br><b>Hinglish:</b> 8-mahine-10-hazar — baaki-gratuity-se-pehle.<br><br><b>Ref:</b> Rule 68(2), (3); Rule 68(2); Rule 3; Rule 68(3)",CCS_Pension Rule_68 Recovery Application CCS_Pension::Rule_68 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 68(2), (3)",CCS21-db21a582
"SCENARIO — Vacated 01.04, NDC applied 02.04, DoE issues NDC 25.04. Pensioner claims interest on held 10%. Decide.","<b>Rule:</b> ALLOW-ABLE: withholding-the withholding rule need NDC within 14 DAYS (by 16.04); 25.04 is 9 days late — admin delay on the tail earns interest at GPF (Secy/JS sanction).<br><br><b>Hinglish:</b> 14-din-NDC — deri-byaaj.<br><br><b>Ref:</b> Rule 68(6), (7)(a); Rule 65; Rule 68(7)(a); Rule 68(6)",CCS_Pension Rule_68 Timeline Interest_On_Delay CCS_Pension::Rule_68 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 68(6), (7)(a)",CCS21-1f87f543
SCENARIO — Non-superannuation retirement 01.05; HoO starts dues-assessment 15.06. Valid under the assessment rule?,"<b>Rule:</b> NO — the assessment rule's sub-rule: IMMEDIATELY on retirement/knowledge for others; finish in 30 DAYS (the assessment rule's sub-rule ). 15.06 start already breaches both.<br><br><b>Hinglish:</b> Other-turant-30-din.<br><br><b>Ref:</b> Rule 69(1), (2); Rule 69; Rule 69(1); Rule 69(2)",CCS_Pension Rule_69 Timeline Evaluation CCS_Pension::Rule_69 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,"Rule 69(1), (2)",CCS21-f42826e2
"SCENARIO — 6 months AFTER PPO, an old HBA balance surfaces. Time-barred?",<b>Rule:</b> NO — the assessment rule's sub-rule: LATER DISCOVERIES remain adjustable (via revision/withholding rails); assessment-finality never launders unknown dues.<br><br><b>Hinglish:</b> Baad-mila-bhi-katega.<br><br><b>Ref:</b> Rule 69(3); Rule 66; Rule 68,CCS_Pension Rule_69 Recovery CCS_Pension::Rule_69 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 69(3),CCS21-beaa83e8
SCENARIO — Gazetted officer retires 31.03; Gazette notification issues 05.04 without AO copy. Defects?,"<b>Rule:</b> TIMING ok (within 1 WEEK per the deemed-retirement rule's sub-rule ) but AO-COPY missing — the deemed-retirement rule's sub-rule -style copy duty (forward IMMEDIATELY to AO) breached; cure by instant dispatch.<br><br><b>Hinglish:</b> Hafte-me-thik, AO-copy-bhool-galat.<br><br><b>Ref:</b> Rule 70(1)(a), (b); Rule 70(1)(a); Rule 70(1)(b); Rule 70(1); Rule 70(a); Rule 70(b)",CCS_Pension Rule_70 Timeline Evaluation CCS_Pension::Rule_70 Priority::Medium,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,MEDIUM,"Rule 70(1)(a), (b)",CCS21-1648cc21
SCENARIO — Notification delayed 2 months; officer claims salary till notification. Decide (the deemed-retirement rule's sub-rule (2)).,<b>Rule:</b> REJECT — DEEMED RETIRED on due date; failure to notify does NOT extend service. Pay stops at retirement date; only pension-line remedies flow.<br><br><b>Hinglish:</b> Kagaz-ruka-naukri-nahi-badhi.<br><br><b>Ref:</b> Rule 70(2); Rule 62; Rule 65,CCS_Pension Rule_70 Evaluation CCS_Pension::Rule_70 Priority::High,CCS_Pension_Rules_2021::07_Retirement_Processing_Rules_58_to_70,Basic,HIGH,Rule 70(2),CCS21-9c8496e3
SCENARIO — Servant dies in service; HoO skips nomination check and writes to ALL relatives. Defect?,"<b>Rule:</b> YES — death-intimation mandates NOMINATION CHECK FIRST, then Format 11 to the RIGHT claimants for Form 9. Scattergun letters delay + leak; cure by checking gratuity-nomination records immediately.<br><br><b>Hinglish:</b> Pehle-nomination-phir-chitthi.<br><br><b>Ref:</b> Rule 71(2); Rule 46",CCS_Pension Rule_71 Evaluation CCS_Pension::Rule_71 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,Rule 71(2),CCS21-7d1217b2
"SCENARIO — Death 10.06; licence-fee arrears till May Rs 20,000 + June–Sept damages Rs 30,000. Recoverable?","<b>Rule:</b> Pre-death fee WAIVED (the death-intimation rule's sub-rule ) → Rs 20,000 gone; damages for death-month + 3 months (June–Sept) NOT recovered (the death-intimation rule's sub-rule ) → Rs 30,000 gone. Family starts clean on these heads.<br><br><b>Hinglish:</b> Maut-par-kiraya-muaaf-4-mahine-chhoot.<br><br><b>Ref:</b> Rule 71(4)(a), (b); Rule 71(4)(a); Rule 71(4)(b); Rule 71(4); Rule 71(a); Rule 71(b)",CCS_Pension Rule_71 Application CCS_Pension::Rule_71 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 71(4)(a), (b)",CCS21-87b4a7eb
SCENARIO — Death 01.04; HoO intimates DoE on 12.04. Valid?,<b>Rule:</b> NO — the death-intimation rule's sub-rule: 7 DAYS (till 08.04). 12.04 breaches; downstream death-dues clocks compress.<br><br><b>Hinglish:</b> 7-din-DoE — 12-deri.<br><br><b>Ref:</b> Rule 71(4)(c); Rule 77; Rule 71(4); Rule 71(c),CCS_Pension Rule_71 Timeline Evaluation CCS_Pension::Rule_71 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,Rule 71(4)(c),CCS21-39334173
SCENARIO — 1990–95 spell unverified; HoO REJECTS the death case for 'incomplete verification'. Valid?,"<b>Rule:</b> NO — the record-verification rule's sub-rule (i): unverified ACCEPTED AS VERIFIED in death cases (lenient track); ready-access digging is a POWER not duty the record-verification rule. Reject = illegal; decide in 1 MONTH (the record-verification rule's sub-rule ).<br><br><b>Hinglish:</b> Maut-me-unverified-maan-lo — reject-galat.<br><br><b>Ref:</b> Rule 72(1)(b), 72(3); Rule 72(b)(ii); Rule 72(1)(b)(i); Rule 72(3); Rule 72(1); Rule 72(b)",CCS_Pension Rule_72 Evaluation CCS_Pension::Rule_72 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,Rule 72(1)(b); 72(3),CCS21-17e71066
SCENARIO — Service shows a 2010 STRIKE break. Death-case verification outcome?,"<b>Rule:</b> FAILS record-verification continuity (no dismissal/removal/resignation/STRIKE) — strike-breaks need condonation mechanics (strike = listed BAR, never condoned); verify segments + apply forfeiture honestly.<br><br><b>Hinglish:</b> Hadtaal-nirantarta-tod.<br><br><b>Ref:</b> Rule 72(1)(b)(iii); Rule 28(2); Rule 28",CCS_Pension Rule_72 Scenario CCS_Pension::Rule_72 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,Rule 72(1)(b)(iii),CCS21-1ecc093d
SCENARIO — Death 05.05; HoO determines emoluments on 3-year average. Valid?,"<b>Rule:</b> NO — the record-verification rule's sub-rule: lookback is 1 YEAR (not the calendar rule's 24 months, not 3 years). Recompute on 1-year base (+ EOL-case handling per ) within the 1-MONTH determination (the record-verification rule's sub-rule ).<br><br><b>Hinglish:</b> Maut-1-saal — 3-saal-galat.<br><br><b>Ref:</b> Rule 72(2)(a), (b); Rule 72(3); Rule 57; Rule 72(2)(a); Rule 72(2); Rule 72(a); Rule 72(b)",CCS_Pension Rule_72 Timeline Evaluation CCS_Pension::Rule_72 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,Rule 72(2); 72(3),CCS21-4fa8e3d8
SCENARIO — Other office replies on day 45 to a FP-settlement verification request. Effect?,<b>Rule:</b> LATE — FP-settlement allows 1 MONTH (vs the calendar rule's 2 months); silence-at-30-days → qualifying-DEEMED the calendar rule; Secretary owns the failure the calendar rule; HoO IGNORES the late/incomplete reply the calendar rule and closes in 1 MONTH (the FP-settlement rule's sub-rule ).<br><br><b>Hinglish:</b> Maut-1-mahina-deri-maan-lo-aage.<br><br><b>Ref:</b> Rule 73(2)(b); Rule 73; Rule 57(b)(iv); Rule 57(b)(v); Rule 57(b)(vi); Rule 57; Rule 73(2)(b)(iii); Rule 73(2)(a); Rule 73(2); Rule 73(a),CCS_Pension Rule_73 Timeline Evaluation CCS_Pension::Rule_73 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,Rule 73(2)(b)(iii)-(vi),CCS21-f94199b2
SCENARIO — Family pension sanctioned 2 months after death. HoO cites 'verification pending'. Valid?,"<b>Rule:</b> NO — the FP-settlement rule's sub-rule 'NO CASE should exist' + the FP-settlement rule's sub-rule: FP within 1 MONTH on family-pension basis; verification runs via lenient record-verification rails, never as an excuse.<br><br><b>Hinglish:</b> 1-mahine-FP — jaanch-bahana-nahi.<br><br><b>Ref:</b> Rule 73(1), (2)(a); Rule 50(2); Rule 72; Rule 73; Rule 73(1); Rule 73(2)(a); Rule 73(2); Rule 73(a)",CCS_Pension Rule_73 Timeline Evaluation CCS_Pension::Rule_73 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 73(1), 73(2)(a)",CCS21-d425ccb5
SCENARIO — AO returns a death-forwarding bundle for 'Form 4 missing'. Valid return?,"<b>Rule:</b> NO — the death-forwarding rule's sub-rule: NO REJECTION for Form 4 absence (echoed the pensioner-death rule's sub-rule ). AO must process Form 11 + Format 10 + Format 9 + service book; the death-forwarding rule's sub-rule: death dues flagged, gratuity held max 10%.<br><br><b>Hinglish:</b> Form4-na-ho to bhi-chalao.<br><br><b>Ref:</b> Rule 74(1), (2), (4); Rule 74; Rule 77; Rule 74(2); Rule 79(3)(vi); Rule 74(4); Rule 74(3); Rule 74(vi)",CCS_Pension Rule_74 Form Evaluation CCS_Pension::Rule_74 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 74(1), (2), (4)",CCS21-05d41c7a
"SCENARIO — Death 01.03, claim 10.03, HoO sanctions provisional FP on 30.03 at DOUBLE the family-pension rate. Defects?","<b>Rule:</b> TWO the death-payment rule's sub-rule: within 15 DAYS of claim (till 25.03) — 30.03 late cap = MAX — double-rate ultra vires. Sanction-letter + establishment-pay rails all 2 clauses + IMMEDIATE disbursement (the death-payment rule's sub-rule ) still owed.<br><br><b>Hinglish:</b> 15-din-aur-the family-pension rule-chhat — dono-tute.<br><br><b>Ref:</b> Rule 75(1), (2); Rule 50(2); Rule 75(1); Rule 75(2); Rule 75(a)-(b)",CCS_Pension Rule_75 Timeline Evaluation CCS_Pension::Rule_75 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 75(1), (2)",CCS21-4d1bab12
SCENARIO — Death 01.03; provisional runs till 01.10 (7 months). Valid?,"<b>Rule:</b> NO — the death-payment rule's sub-rule: 6 MONTHS from DAY-AFTER-DEATH (02.03 → 01.09); HoO must INFORM AO on expiry (the death-payment rule's sub-rule ); continued payment needs PPO rails, not silent extension.<br><br><b>Hinglish:</b> 6-mahine-agle-din-se — 7-galat.<br><br><b>Ref:</b> Rule 75(3), (4); Rule 76; Rule 75(3); Rule 75(4)",CCS_Pension Rule_75 Timeline Evaluation CCS_Pension::Rule_75 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 75(3), (4)",CCS21-fb691260
"SCENARIO — The death-forwarding rule forwarded; HoO releases 100% death gratuity WITHOUT deducting Rs 40,000 admitted dues. Valid?","<b>Rule:</b> NO — the death-payment rule's sub-rule: 100% gratuity AFTER forwarding, but sanction-letter RECOVERABLE DEDUCTED first; death-payment immediacy doesn't skip the deduction; computation on gratuity basis (the death-payment rule's sub-rule ).<br><br><b>Hinglish:</b> 100%-me-se-baqaya-kaat-ke-turant.<br><br><b>Ref:</b> Rule 75(5), (6), (7)(a); Rule 74; Rule 75(6); Rule 45(1)(b); Rule 75(5); Rule 75(7)(a); Rule 75(7); Rule 75(a)",CCS_Pension Rule_75 Evaluation CCS_Pension::Rule_75 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 75(5), (6), (7)(a)",CCS21-40f8930f
SCENARIO — AO takes 2 months on Form 11 Part II Section I; provisional LAPSES in between. Who failed?,"<b>Rule:</b> AO — the payment rule's sub-rule: 1 MONTH (with 1-year-emoluments check + CONTINUE-provisional 2nd proviso). Provisional must NEVER gap; HoO should've ridden the 2nd proviso + sought HoD extension (the payment rule's sub-rule ) if needed.<br><br><b>Hinglish:</b> 1-mahine-AO — provisional-rukna-nahi.<br><br><b>Ref:</b> Rule 76(1), (2); Rule 76(1); Rule 76(2)",CCS_Pension Rule_76 Timeline Evaluation CCS_Pension::Rule_76 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 76(1), (2)",CCS21-41b3feda
SCENARIO — Provisional ends 01.09; PPO effective 15.09; 14-day gap unpaid. Valid?,"<b>Rule:</b> NO — the payment rule's sub-rule: PPO effective DAY PROVISIONAL CEASES (02.09) BOTH dates shown ARREARS BY HoO. Gap = interest territory.<br><br><b>Hinglish:</b> Jod-bina-judna — baqaya-HoO.<br><br><b>Ref:</b> Rule 76(3)(b), (c), (d); Rule 65; Rule 76(3)(b); Rule 76(c); Rule 76(d); Rule 76(3); Rule 76(b)",CCS_Pension Rule_76 Timeline Evaluation CCS_Pension::Rule_76 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 76(3)(b), (c), (d)",CCS21-afe5fa47
"SCENARIO — Missing servant: leave till 15.03, pay till 31.03, FIR 10.04. AO picks 31.03 as start. Correct?","<b>Rule:</b> NO — the payment rule's sub-rule: THREE dates, LATEST = FIR 10.04 (mirrors its missing-persons counterpart); + 6-MONTH bar (the payment rule's sub-rule ) before payout; disabled/parents/siblings enter PPO only if NO prior claimant (the payment rule's sub-rule ).<br><br><b>Hinglish:</b> 3-me-sabse-baad-FIR — 6-mahine-rok.<br><br><b>Ref:</b> Rule 76(3)(e), (f); Rule 76(4); Rule 51(1)(b); Rule 76(3)(e); Rule 76(3)(f); Rule 76(3); Rule 76(e); Rule 76(f)",CCS_Pension Rule_76 Missing_Person Timeline Evaluation CCS_Pension::Rule_76 Priority::High,CCS_Pension_Rules_2021::08_Death_Cases_Rules_71_to_79,Basic,HIGH,"Rule 76(3)(e), (f); 76(4)",CCS21-57529928
